timestamp,open,high,low,close,volume
2022-11-02,3575.6000,3625.0000,3526.0000,3578.0000,82645
2022-11-01,3351.1000,3605.0000,3351.1000,3575.6000,142943
2022-10-31,3335.0000,3360.0000,3327.1000,3346.3500,35373
2022-10-28,3333.4500,3386.0000,3299.9500,3325.6500,218409
2022-10-27,3310.5000,3353.0000,3297.8500,3324.9000,88497
2022-10-25,3315.0000,3346.0000,3294.7000,3300.0000,24727
2022-10-21,3379.4000,3380.2500,3286.5500,3310.9500,66336
2022-10-20,3256.0000,3365.7000,3246.0000,3357.3000,91140
2022-10-19,3313.9500,3313.9500,3258.0500,3277.0000,112817
2022-10-18,3269.9500,3297.0000,3224.9500,3285.0000,57034
2022-10-17,3209.5000,3234.9500,3138.0000,3212.1000,429616
2022-10-14,3261.0500,3304.5000,3194.1000,3208.0000,47570
2022-10-13,3219.7500,3262.0000,3189.0000,3233.6000,96086
2022-10-12,3310.0000,3310.0000,3141.1000,3224.2500,98788
2022-10-11,3253.1500,3338.0000,3250.5500,3273.3500,97671
2022-10-10,3235.0000,3277.9000,3216.0000,3247.4000,45433
2022-10-07,3285.0000,3308.8500,3227.5500,3277.5000,88156
2022-10-06,3261.0000,3317.5000,3207.3500,3285.9000,169021
2022-10-04,3234.0000,3290.0000,3125.9500,3238.4000,170082
2022-10-03,3454.0000,3459.0500,3105.9000,3157.1500,285344
2022-09-30,3451.0000,3524.0000,3370.4500,3451.0000,333007
2022-09-29,3577.0000,3662.2500,3426.3000,3472.0000,241104
2022-09-28,3530.0000,3595.0000,3505.0500,3549.1000,69060
2022-09-27,3600.0000,3630.0000,3484.2500,3557.7000,152763
2022-09-26,3647.0000,3657.8000,3532.8000,3589.7500,104378
2022-09-23,3727.0000,3740.0000,3653.5000,3673.9000,111854
2022-09-22,3641.4500,3736.3000,3570.0000,3716.7000,200018
2022-09-21,3831.0000,3862.2000,3572.6500,3641.4500,284028
2022-09-20,3822.0000,3883.7000,3808.9000,3835.8000,135711
2022-09-19,3748.0000,3800.0000,3679.7000,3778.9000,338215
2022-09-16,3764.8000,3865.6000,3614.7000,3701.9000,297234
2022-09-15,3609.0000,3765.9500,3580.0000,3749.1500,125869
2022-09-14,3500.0000,3611.0000,3500.0000,3571.6500,114480
2022-09-13,3485.0000,3567.6500,3422.0000,3556.1500,86789
2022-09-12,3460.0000,3495.0000,3456.2000,3461.3500,44955
2022-09-09,3470.0000,3506.1000,3416.0000,3450.6500,58794
2022-09-08,3499.0000,3503.8000,3450.0000,3461.9500,109924
2022-09-07,3443.4000,3488.0000,3415.0500,3473.8500,114449
2022-09-06,3360.2000,3447.0000,3360.2000,3435.8500,133000
2022-09-05,3370.0500,3432.0000,3312.8000,3347.0500,187839
2022-09-02,3263.0000,3369.4500,3226.8000,3356.9500,159559
2022-09-01,3215.0000,3244.7500,3186.0000,3232.7500,79320
2022-08-30,3178.0000,3262.5500,3163.4000,3193.6000,164864
2022-08-29,3059.0000,3165.0000,3041.2500,3142.7000,81715
2022-08-26,3078.0000,3172.0000,3078.0000,3139.4500,159194
2022-08-25,3164.0000,3177.4500,3055.7500,3066.8000,164737
2022-08-24,3039.8500,3151.6500,2987.0000,3136.6000,138941
2022-08-23,3033.1500,3075.0000,2929.0500,3023.6500,447369
2022-08-22,3130.0000,3192.2500,3029.7500,3052.0000,148427
2022-08-19,3177.0000,3258.0500,3075.1000,3129.0500,308626
2022-08-18,3014.0000,3186.6500,3002.4500,3153.6500,168784
2022-08-17,2980.2000,3028.6000,2980.0500,3008.9000,48398
2022-08-16,2882.0000,2985.0000,2872.5000,2974.8500,56881
2022-08-12,2845.9500,2870.4500,2834.6000,2864.3500,24320
2022-08-11,2850.0000,2850.0000,2816.3500,2833.2500,37404
2022-08-10,2800.0000,2835.0000,2780.7000,2826.8500,54625
2022-08-08,2698.0000,2807.7500,2697.0000,2792.3500,38467
2022-08-05,2764.0000,2768.4500,2685.1000,2697.6000,55985
2022-08-04,2718.0000,2743.8000,2683.4500,2723.2000,68468
2022-08-03,2689.0000,2717.9500,2672.0000,2711.5500,23565
2022-08-02,2661.0000,2696.0000,2641.0500,2682.9000,35782
2022-08-01,2580.0000,2668.5500,2569.3000,2658.9000,369198
2022-07-29,2565.0000,2622.0000,2560.4500,2569.4000,45275
2022-07-28,2559.0000,2564.4000,2532.0000,2550.8000,20464
2022-07-27,2560.5500,2572.0000,2526.9500,2547.7000,38124
2022-07-26,2559.0000,2567.8000,2534.0000,2560.5500,32760
2022-07-25,2500.0000,2561.3500,2500.0000,2549.8500,41028
2022-07-22,2509.9500,2515.0000,2483.2000,2499.0000,40226
2022-07-21,2455.9000,2499.0000,2452.8500,2495.9500,39849
2022-07-20,2474.0000,2474.0000,2443.5000,2451.1000,26095
2022-07-19,2413.5000,2459.0000,2405.0000,2450.5500,51062
2022-07-18,2426.0000,2440.5000,2407.0000,2424.0000,356111
2022-07-15,2413.9500,2422.7500,2377.1000,2404.7000,68448
2022-07-14,2369.0000,2403.9500,2338.0000,2385.9500,22051
2022-07-13,2375.8000,2384.6500,2334.0000,2352.4500,39650
2022-07-12,2331.9000,2389.0000,2331.9000,2365.8500,46862
2022-07-11,2304.9000,2384.9500,2294.4500,2371.5500,97571
2022-07-08,2279.9500,2301.0000,2263.5000,2293.0500,37573
2022-07-07,2280.0000,2294.8000,2256.1000,2275.2500,32102
2022-07-06,2249.0000,2276.6000,2240.7500,2271.4500,19741
2022-07-05,2260.9000,2290.3000,2237.6000,2245.4000,45310
2022-07-04,2234.0000,2276.0000,2231.0500,2260.6000,41601
2022-07-01,2190.0000,2240.0000,2140.5000,2231.6000,47602
2022-06-30,2220.0000,2248.5500,2180.9500,2189.8500,49911
2022-06-29,2185.0000,2247.9500,2177.0500,2220.8000,59692
2022-06-28,2162.1000,2210.7500,2160.2000,2205.0000,31379
2022-06-27,2190.0000,2210.4500,2168.8500,2181.4000,51616
2022-06-24,2111.2000,2168.0500,2109.1000,2161.5000,38936
2022-06-23,2109.0000,2127.5500,2080.0000,2109.4500,95762
2022-06-22,2155.0000,2155.0000,2078.0500,2089.2000,91891
2022-06-21,2092.3000,2176.8500,2092.0500,2160.9000,49098
2022-06-20,2098.3000,2121.3000,2025.0000,2083.2000,76139
2022-06-17,2068.0000,2135.0000,2060.1000,2096.0500,84694
2022-06-16,2200.0000,2220.0000,2076.7500,2082.8500,68000
2022-06-15,2222.0000,2222.0000,2175.3000,2184.3000,63216
2022-06-14,2100.0000,2220.0000,2053.0000,2196.5000,284954
2022-06-13,2175.0000,2175.0000,2070.7000,2081.4500,53677
